ShapeCurveId,ShapeTemplateId,DesignName,CenterX,CenterY,Radius1,Radius2,StartAngle,EndAngle,Pie,LineType
158,8,B,G+ L + W+ L - R5,CG + W -W + R5,R5,R5,0,90,,Cut
159,8,B,G + L + W+ L - Y - C,CG + W -W - X4,C,C,0,90,,Cut
160,8,B,G+ L + W+ L + W - Y1 - R13,CG + W + 0 - S2 + R13,R13,R13,0,45,,Cut
161,8,B,G+ L + W + R5,CG + W -W + R5,R5,R5,90,180,,Cut
162,8,B,G+ L + W + L - E + R5,CG + W -W + R5,R5,R5,90,180,,Cut
163,8,B,G + L + W+ Y + C,CG + W -W - X4,C,C,90,180,,Cut
164,8,B,G + L + Y1 + R13,CG + W + 0 - S2 + R13,R13,R13,135,180,,Cut
165,8,B,G+ L + W + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
166,8,B,G+ L + W+ L - E + R5,CG + W + D + W - R5,R5,R5,180,-90,,Cut
167,8,B,G+ L + W + Y + C,CG + W + D + W + X4,C,C,180,-90,,Cut
168,8,B,G + L + Y1 + R13,CG + W + D + S2 - R13,R13,R13,180,-135,,Cut
