ShapeLineId,ShapeTemplateId,DesignName,StartX,StartY,EndX,EndY,Description,LineType
404,4,B,0,CG + W + (Tan(T * (22 / 7) / 180) * G),0,CG + W + D - ((Tan(T * (22 / 7) / 180) * G)),,Cut
405,4,B,0,CG + W + D - ((Tan(T * (22 / 7) / 180) * G)),G + 0,CG + W + D,,Cut
406,4,B,G + L + W,CG + W + 0,G + L + W,CG + W -W + R5,,Cut
407,4,B,G + L + W + R5,CG + W -W,G + L + W + E - R5,CG + W -W,,Cut
408,4,B,G + L + W + E,CG + W -W + R5,G + L + W + E,CG + W -W + R5 + X5,,Cut
409,4,B,G + L + W + L,CG + W + 0,G + L + W + L,CG + W -W + R5,,Cut
410,4,B,G + L + W + L - R5,CG + W -W,G + L + W + L - E + R5,CG + W -W,,Cut
411,4,B,G + L + W + L - E,CG + W -W + R5,G + L + W + L - E,CG + W -W + R5 + X5,,Cut
412,4,B,G + L + W + Y + C,CG + W + (-W - X4 - C),G + L + W + L - Y - C,CG + W -W - X4 - C,,Cut
413,4,B,G + L + W,CG + W + 0,G + L + W - N4,CG+W-N4,,Cut
414,4,B,G + L + W - N4,CG+W-N4,G + L + W - N4,CG + W -(X4 + W - X6 + C + OFST) / 2,,Cut
415,4,B,G + L,CG + W + 0,G + L + Y1,CG + W + 0,,Cut
416,4,B,G + L + Y1,CG + W + 0,G + L + Y1,CG + W + 0 - S2 + R13,,Cut
417,4,B,G + L + Y1 + (TempB),CG + W + 0 - S2 + R13 - (TempP),G + L + Y1 + N + (TempB),CG + W + 0 - S2 + R13 - (TempP) - (N * Tan(2 * PI * T6 / 360.0)),,Cut
418,4,B,G + L + Y1 + N + (TempB),CG + W + 0 - S2 + R13 - (TempP) - (N * Tan(2 * PI * T6 / 360.0)),G + L + Y1 + N + (TempB) + (((0 + A) - (0 + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W -A,,Cut
419,4,B,G + L + Y1 + N + (TempB) + (((0 + A) - (0 + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W -A,G + L + W - N,CG + W -A,,Cut
420,4,B,G + L + W + L,CG + W + 0,G + L + W + L + N4,CG + W + 0 - N4,,Cut
421,4,B,G + L + W + L + N4,CG + W + 0 - N4,G + L + W + L + N4,CG + W + 0 - (X4 + W - X6 + C + OFST) / 2,,Cut
422,4,B,G + L + W + L + W - CTBK,CG + W + 0,G + L + W + L + W - Y1,CG + W + 0,,Cut
423,4,B,G + L + W + L + W - Y1,CG + W + 0,G + L + W + L + W - Y1,CG + W + 0 - S2 + R13,,Cut
424,4,B,G + L + W + L + W - Y1 - (TempB),CG + W + 0 - S2 + R13 - (TempP),G + L + W + L + W - Y1 - N - (TempB),CG + W -S2 + R13 - (TempP) - (N * Tan(2 * PI * T6 / 360.0)),,Cut
425,4,B,G + L + W + L + W - Y1 - N - (TempB),CG + W -S2 + R13 - (TempP) - (N * Tan(2 * PI * T6 / 360.0)),G + L + W + L + W - Y1 - N - (TempB) - (((D + A) - (D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W -A,,Cut
426,4,B,G + L + W + L + W - Y1 - N - (TempB) - (((D + A) - (D + S2 - R13 + (TempP) + (N * Tan(2 * PI * T6 / 360.0)))) * Tan(2 * PI * T7 / 360.0)),CG + W -A,G + L + W + L + N,CG + W -A,,Cut
427,4,B,G + 0,CG + W + D,G + 0,CG + W + D + (W * LOCK_PERCENTAGE %),,Cut
428,4,B,G + 0,CG + W + D + (W * LOCK_PERCENTAGE %),G+ (W/2)/(TAN(T6 * (22 / 7) / 180)) - R9,CG + W + D + (W * LOCK_PERCENTAGE %),,Cut
429,4,B,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W * LOCK_PERCENTAGE %) -R9,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W /2),,Cut
430,4,B,G + L,CG + W + D,G + L,CG + W + D +(W * LOCK_PERCENTAGE %),,Cut
431,4,B,G + L,CG + W + D + (W * LOCK_PERCENTAGE %),(G + L)- ((W/2)/(TAN(T6 * (22 / 7) / 180)) - R9),CG + W + D + (W * LOCK_PERCENTAGE %),,Cut
432,4,B,(G+ L)- (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W * LOCK_PERCENTAGE %) - R9,(G + L) - (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W /2),,Cut
433,4,B,G+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W /2),(G + L) - (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W /2),,Cut
434,4,B,G + L + Y1,CG + W + D ,G + L + (W/2)/(TAN(T63 * (22 / 7) / 180)) - Y1,CG + W + D + (W/2),,Cut
435,4,B,G + L + (W/2)/(TAN(T63 * (22 / 7) / 180)) - Y1,CG + W + D + (W * LOCK_PERCENTAGE %),G + L + W,CG + W + D + (W * LOCK_PERCENTAGE %),,Cut
436,4,B,G + L + W,CG + W + D + (W * LOCK_PERCENTAGE %),G + L + W,CG + W + D,,Cut
437,4,B,G + L + W,CG + W + D,G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W/2),,Cut
438,4,B,G + L + W + L,CG + W + D,G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W/2),,Cut
439,4,B,G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)) - R9,CG + W + D + (W * LOCK_PERCENTAGE %),G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)) + R9,CG + W + D + (W * LOCK_PERCENTAGE %),,Cut
440,4,B,G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W/2),G + L+ W+ (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W * LOCK_PERCENTAGE %) - R9,,Cut
441,4,B,G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W/2),G + L+ W+ L- (W/2)/(TAN(T6 * (22 / 7) / 180)),CG + W + D + (W * LOCK_PERCENTAGE %) - R9,,Cut
442,4,B,G + L + W + L + Y1,CG + W + D + (W * LOCK_PERCENTAGE %),G + L + W + L + Y1,CG + W + D,,Cut
443,4,B,G + L + W + L + W - CTBK,CG + W + D,G + L +W +L+W-CTBK- (W/2)/(TAN(T63 * (22 / 7) / 180)),CG + W + D + (W/2),,Cut
444,4,B,G + L +W +L+W-CTBK- (W/2)/(TAN(T63 * (22 / 7) / 180)),CG + W + D + (W * LOCK_PERCENTAGE %),G + L + W + L + Y1,CG + W + D + (W * LOCK_PERCENTAGE %),,Cut
445,4,B,G + L,CG + W + D,G + L + Y1,CG + W + D ,,Cut
446,4,B,G + L + W + L,CG + W + D ,G + L + W + L + CTBK,CG + W + D ,,Cut
447,4,A,0,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG,0,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG - BM,,Registration
448,4,A,G,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG,G,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG - BM,,Registration
449,4,A,G + L,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG,G + L,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG - BM,,Registration
450,4,A,G + L + W,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG,G + L + W,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG - BM,,Registration
451,4,A,G + L + W + L,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG,G + L + W + L,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG - BM,,Registration
452,4,A,G+L+W+L+W-CTBK,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG,G+ L+W+L+W-CTBK,CG + W + 0 - (CG + W - (W * LOCK_PERCENTAGE %)) - BMG - BM,,Registration
453,4,A,0,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG,0,CG + W + D - (CG + W - (W * LOCK_PERCENTAGE %)) + BMG + BM,,Registration
